Province,City,District,Neighborhood
Alicante,Baix Segura,Torrevieja,Los Balcones - Los Altos del Edén
Alicante,Baix Segura,Torrevieja,Nueva Torrevieja - Aguas Nuevas
Alicante,Baix Segura,Torrevieja,Playa de los Locos
Alicante,Baix Segura,Torrevieja,Playa del Cura
Alicante,Baix Segura,Torrevieja,Punta Prima
Alicante,Baix Vinalopó,Crevillente,
Alicante,Baix Vinalopó,Elche,Algoda-Matola-Llano de San José
Alicante,Baix Vinalopó,Elche,Alzabares
Alicante,Baix Vinalopó,Elche,Arenales del Sol
Alicante,Baix Vinalopó,Elche,Carrús
Alicante,Baix Vinalopó,Elche,El Altet - Balsares
Alicante,Baix Vinalopó,Elche,Elche Ciudad
Alicante,Baix Vinalopó,Elche,Jubalcoi-Saladas
Alicante,Baix Vinalopó,Elche,La Galia-Bonavista
Alicante,Baix Vinalopó,Elche,La Hoya-Daimes-El Derramador
Alicante,Baix Vinalopó,Elche,La Marina
Alicante,Baix Vinalopó,Elche,Las Bayas-Asprillas
Alicante,Baix Vinalopó,Elche,Maitino-Perleta
Alicante,Baix Vinalopó,Elche,Peña de Las Águilas
Alicante,Baix Vinalopó,Elche,Torrellano
Alicante,Baix Vinalopó,Elche,Valverde
Alicante,Baix Vinalopó,Gran Alacant,Gran Vista-Olivo de Oro
Alicante,Baix Vinalopó,Gran Alacant,Mediterráneo-Novamar
Alicante,Baix Vinalopó,Gran Alacant,Monte Faro-Altomar
Alicante,Baix Vinalopó,Gran Alacant,Monte y Mar
Alicante,Baix Vinalopó,Gran Alacant,Panorama-Sierramar
Alicante,Baix Vinalopó,Gran Alacant,Puerto Marino
Alicante,Baix Vinalopó,Santa Pola,Calas de Santa Pola Este
Alicante,Baix Vinalopó,Santa Pola,Calas de Santiago Bernabeu
Alicante,Baix Vinalopó,Santa Pola,Centro
Alicante,Baix Vinalopó,Santa Pola,Gran Playa
Alicante,Baix Vinalopó,Santa Pola,Playa Levante
Alicante,Baix Vinalopó,Santa Pola,Puerto
Alicante,Baix Vinalopó,Santa Pola,Tamarit - Playa Lissa
Alicante,Baix Vinalopó,Santa Pola,Zona norte
Alicante,Comtat,Área de Benimassot,
Alicante,Comtat,Área de Muro de Alcoy,
Alicante,Comtat,Área de Planes,
Alicante,L'Alacantí,Agost,
Alicante,L'Alacantí,Aigües,
Alicante,L'Alacantí,Barriadas de Alicante,
Alicante,L'Alacantí,Busot,
Alicante,L'Alacantí,El Campello,
Alicante,L'Alacantí,Jijona,
Alicante,L'Alacantí,Mutxamel,
Alicante,L'Alacantí,San Juan de Alicante,
Alicante,L'Alacantí,San Vicente del Raspeig,
Alicante,Alicante,Benalúa-La Florida-Babel-San Gabriel,Alipark
Alicante,Alicante,Benalúa-La Florida-Babel-San Gabriel,Babel
Alicante,Alicante,Benalúa-La Florida-Babel-San Gabriel,Benalúa
Alicante,Alicante,Benalúa-La Florida-Babel-San Gabriel,Ciudad de Asís
Alicante,Alicante,Benalúa-La Florida-Babel-San Gabriel,El Palmeral-Urbanova-Tabarca
Alicante,Alicante,Benalúa-La Florida-Babel-San Gabriel,La Florida
Alicante,Alicante,Benalúa-La Florida-Babel-San Gabriel,La Florida Portazgo
Alicante,Alicante,Benalúa-La Florida-Babel-San Gabriel,Princesa Mercedes
Alicante,Alicante,Benalúa-La Florida-Babel-San Gabriel,San Gabriel
Alicante,Alicante,Campoamor-Carolinas-Altozano,Altozano
Alicante,Alicante,Campoamor-Carolinas-Altozano,Benisaudet
Alicante,Alicante,Campoamor-Carolinas-Altozano,Campoamor
Alicante,Alicante,Campoamor-Carolinas-Altozano,Carolinas Altas
Alicante,Alicante,Campoamor-Carolinas-Altozano,Carolinas Bajas
Alicante,Alicante,Centro,Casco Histórico-Santa Cruz
Alicante,Alicante,Centro,Centro Tradicional
Alicante,Alicante,Centro,Ensanche-Diputación
Alicante,Alicante,Centro,Mercado
Alicante,Alicante,Los Ángeles-Tómbola-San Nicolás,Ciudad de Asís - Font-Calent - El Bacarot
Alicante,Alicante,Los Ángeles-Tómbola-San Nicolás,Divina Pastora
Alicante,Alicante,Los Ángeles-Tómbola-San Nicolás,Los Ángeles
Alicante,Alicante,Los Ángeles-Tómbola-San Nicolás,San Agustín
Alicante,Alicante,Los Ángeles-Tómbola-San Nicolás,Tómbola - Rabasa
Alicante,Alicante,Parque Avenidas - Vistahermosa,
Alicante,Alicante,Plà del Bon Repòs-La Goteta-San Antón,
Alicante,Alicante,Playa de San Juan-El Cabo,Alicante Golf
Alicante,Alicante,Playa de San Juan-El Cabo,Cabo de las Huertas
Alicante,Alicante,Playa de San Juan-El Cabo,La Albufereta
Alicante,Alicante,Playa de San Juan-El Cabo,PAU 5
Alicante,Alicante,Playa de San Juan-El Cabo,Playa de San Juan
Alicante,Alicante,San Blas-Pau,
Alicante,Alicante,Villafranqueza-Santa Faz-Monegre,
Alicante,Alicante,Virgen del Remedio - Juan XXIII,
Alicante,L'Alcoià,Alcoy,Barri Batoi - Sargento - Baradello
Alicante,L'Alcoià,Alcoy,Barri Eixample
Alicante,L'Alcoià,Alcoy,Barri Santa Rosa
Alicante,L'Alcoià,Alcoy,Barri Zona Nord
Alicante,L'Alcoià,Alcoy,Centro - Zona Alta
Alicante,L'Alcoià,Área de Foia de Castalla,
Alicante,L'Alcoià,Área de Ibi,
Alicante,L'Alcoià,Área de Penaquila,
Alicante,Marina Alta,El Verger,
Alicante,Marina Alta,Área de Orba-Beniarbeig,
Alicante,Marina Alta,Área de Pego,
Alicante,Marina Alta,Benissa,Benissa pueblo
Alicante,Marina Alta,Benissa,Cala Advocat - Baladrar
Alicante,Marina Alta,Benissa,La Fustera
Alicante,Marina Alta,Benissa,La Viña - Montemar - San Jaime
Alicante,Marina Alta,Benitachell,Alcassar
Alicante,Marina Alta,Benitachell,Calistros
Alicante,Marina Alta,Benitachell,Centro
Alicante,Marina Alta,Benitachell,Cumbre del Sol
Alicante,Marina Alta,Benitachell,Les Fonts
Alicante,Marina Alta,Calpe,Calpe Pueblo
Alicante,Marina Alta,Calpe,Canuta
Alicante,Marina Alta,Calpe,Cometa-Carrió
Alicante,Marina Alta,Calpe,Gargasindi
Alicante,Marina Alta,Calpe,Manzanera-Tosal
Alicante,Marina Alta,Calpe,Maryvilla
Alicante,Marina Alta,Calpe,Oltamar-Cucarres
Alicante,Marina Alta,Calpe,Playa Arenal-Bol
Alicante,Marina Alta,Calpe,Playa de Fossa-Levante
Alicante,Marina Alta,Calpe,Puerto
Alicante,Marina Alta,Denia,Centro Urbano
Alicante,Marina Alta,Denia,Devesses - Monte Pego
Alicante,Marina Alta,Denia,El Montgó
Alicante,Marina Alta,Denia,El Puerto
Alicante,Marina Alta,Denia,La Pedrera-Vessanes
Alicante,Marina Alta,Denia,La Xara - La Sella - Jesús Pobre
Alicante,Marina Alta,Denia,Les Marines/Las Marinas
Alicante,Marina Alta,Denia,Les Rotes/Las Rotas
Alicante,Marina Alta,Denia,Saladar
Alicante,Marina Alta,Els Poblets,
Alicante,Marina Alta,Gata de Gorgos,
Alicante,Marina Alta,Jávea,Cap Martí - Pinomar
Alicante,Marina Alta,Jávea,Centro Ciudad
Alicante,Marina Alta,Jávea,La Granadella - Costa Nova
Alicante,Marina Alta,Jávea,Montañar-El Arenal
Alicante,Marina Alta,Jávea,Montgó - Ermita
Alicante,Marina Alta,Jávea,Partida Comunes-Adsubia
Alicante,Marina Alta,Jávea,Partida Tosal - Zona dels Castellans
Alicante,Marina Alta,Jávea,Portichol - Balcón al Mar
Alicante,Marina Alta,Jávea,Puerto
Alicante,Marina Alta,Moraira,Benimeit-Tabaira
Alicante,Marina Alta,Moraira,Casco Urbano
Alicante,Marina Alta,Moraira,El Portet-Pla del Mar
Alicante,Marina Alta,Moraira,Moravit-Cap Blanc
Alicante,Marina Alta,Moraira,Paichi
Alicante,Marina Alta,Moraira,Pinar de Advocat-Cometa
Alicante,Marina Alta,Ondara,
Alicante,Marina Alta,Pedreguer,
Alicante,Marina Alta,Teulada,
Alicante,Marina Alta,Vall de Pop,
Alicante,Marina Baixa,Altea,Altea Hills
Alicante,Marina Baixa,Altea,Altea la Vella
Alicante,Marina Baixa,Altea,Altea Pueblo
Alicante,Marina Baixa,Altea,Zona de Mascarat
Alicante,Marina Baixa,Altea,Zona l'Olla
Alicante,Marina Baixa,Alfaz del Pi,Alfaz del Pi Pueblo-Urbanizaciones
Alicante,Marina Baixa,Alfaz del Pi,Colonia Escandinavia-Cautivador
Alicante,Marina Baixa,Alfaz del Pi,L'Albir
Alicante,Marina Baixa,Área de Callosa d'En Sarriá,
Alicante,Marina Baixa,Finestrat,Balcón de Finestrat-Terra Marina
Alicante,Marina Baixa,Finestrat,Cala de Finestrat
Alicante,Marina Baixa,Finestrat,Finestrat Pueblo
Alicante,Marina Baixa,Finestrat,Golf Bahía
Alicante,Marina Baixa,Villajoyosa,Cala de Villajoyosa
Alicante,Marina Baixa,Villajoyosa,Centro Urbano
Alicante,Marina Baixa,Villajoyosa,El Secanet - Hacienda del Sol
Alicante,Marina Baixa,Villajoyosa,Plans - Gasparot
Alicante,Marina Baixa,Villajoyosa,Platja de Torres
Alicante,Marina Baixa,Villajoyosa,Platja Vila Joiosa
Alicante,Marina Baixa,Villajoyosa,Poble Nou - Montiboli
Alicante,Marina Baixa,Benidorm,Centro Urbano
Alicante,Marina Baixa,Benidorm,Playa de Levante
Alicante,Marina Baixa,Benidorm,Playa de Poniente
Alicante,Marina Baixa,Benidorm,Pueblo Levante
Alicante,Marina Baixa,Benidorm,Pueblo Poniente
Alicante,Marina Baixa,Benidorm,Puerto
Alicante,Marina Baixa,Benidorm,Rincón de Loix
Alicante,Marina Baixa,Confrides - Benimantell - Guadalest,
Alicante,Marina Baixa,La Nucia,Barranco Hondo
Alicante,Marina Baixa,La Nucia,Coloma
Alicante,Marina Baixa,La Nucia,El Tossal-Bello Horizonte
Alicante,Marina Baixa,La Nucia,La Nucia Pueblo
Alicante,Marina Baixa,La Nucia,Montebello - Nou Espai
Alicante,Marina Baixa,La Nucia,San Rafael - Nucia Park
Alicante,Marina Baixa,La Nucia,Varadero
Alicante,Marina Baixa,Polop,
Alicante,Marina Baixa,Relleu - Orxeta - Sella,
Alicante,Vinalopó Mitjà,Algüeña - La Romana,
Alicante,Vinalopó Mitjà,Área de Hondón,
Alicante,Vinalopó Mitjà,Aspe,
Alicante,Vinalopó Mitjà,Elda,
Alicante,Vinalopó Mitjà,Monforte del Cid,
Alicante,Vinalopó Mitjà,Monovar,
Alicante,Vinalopó Mitjà,Novelda,
Alicante,Vinalopó Mitjà,Petrer,
Alicante,Vinalopó Mitjà,Pinoso,
Almería,Alpujarras,Área de Alhama de Almería,
Almería,Alpujarras,Área de Canjáyar,
Almería,Alpujarras,Área de Laujar de Andarax,
Almería,Área de Almería,Almería,Altamira - Oliveros - Barrio Alto
Almería,Área de Almería,Almería,Barrio San Luis - Los Molinos
Almería,Área de Almería,Almería,Castell del Rey
Almería,Área de Almería,Almería,Centro
Almería,Área de Almería,Almería,Centro-Rambla
Almería,Área de Almería,Almería,Ciudad Jardín - Tagarete
Almería,Área de Almería,Almería,El Alquián - San Miguel
Almería,Área de Almería,Almería,El Toyo
Almería,Área de Almería,Almería,Esperanza - Quemadero
Almería,Área de Almería,Almería,La Cañada - Costacabana - Loma Cabrera
Almería,Área de Almería,Almería,La Chanca - Pescadería
Almería,Área de Almería,Almería,Los Ángeles - Cruz de Caravaca
Almería,Área de Almería,Almería,Nueva Andalucía - Regiones
Almería,Área de Almería,Almería,Piedras Redondas
Almería,Área de Almería,Almería,Plaza de Toros
Almería,Área de Almería,Almería,Retamar
Almería,Área de Almería,Almería,San Cristóbal
Almería,Área de Almería,Almería,Vega de Acá - Nueva Almería - Cortijo Grande
Almería,Área de Almería,Almería,Villablanca - Torrecárdenas
Almería,Área de Almería,Almería,Zapillo
Almería,Área de Almería,Área de Benahadux,
Almería,Área de Almería,Área de Huercal de Almería,
Almería,Bajo Almanzora,Cuevas del Almanzora,Burjulu - La Mulería
Almería,Bajo Almanzora,Cuevas del Almanzora,Cuevas del Almanzora
Almería,Bajo Almanzora,Cuevas del Almanzora,Desert Spring Golf
Almería,Bajo Almanzora,Cuevas del Almanzora,El Calón - Pozo Esparto
Almería,Bajo Almanzora,Cuevas del Almanzora,Guazamara - Los Lobos
Almería,Bajo Almanzora,Cuevas del Almanzora,Las Cunas - La Algarrobina
Almería,Bajo Almanzora,Cuevas del Almanzora,Palomares
Almería,Bajo Almanzora,Cuevas del Almanzora,Villaricos
Almería,Bajo Almanzora,Huércal-Overa,
Almería,Bajo Almanzora,Área de Pulpí,Pulpi
Almería,Bajo Almanzora,Área de Pulpí,San Juan de los Terreros
Almería,Campo de Tabernas,,
Almería,Filabres,,
Almería,Levante,Área de Turre - Bédar,Antas
Almería,Levante,Área de Turre - Bédar,Bédar
Almería,Levante,Área de Turre - Bédar,Los Gallardos
Almería,Levante,Área de Turre - Bédar,Turre
Almería,Levante,Garrucha,
Almería,Levante,Mojácar,Mojácar Pueblo
Almería,Levante,Mojácar,Pueblo Indalo-Ventanicas-El Cantal
Almería,Levante,Mojácar,Zona el Palmeral
Almería,Levante,Mojácar,Zona Urb. Marina de la Torre
Almería,Levante,Mojácar,Zona Vista de los Ángeles
Almería,Levante,Vera,Cala Marqués
Almería,Levante,Vera,El Playazo
Almería,Levante,Vera,Las Marinas
Almería,Levante,Vera,Las Salinas
Almería,Levante,Vera,Lomas del Mar
Almería,Levante,Vera,Puerto Rey
Almería,Levante,Vera,Puerto Vera
Almería,Levante,Vera,Urb.Golf Valle Este
Almería,Levante,Vera,Vera Playa Naturista
Almería,Levante,Vera,Vera Pueblo
Almería,Los Vélez,,
Almería,Parque Natural Cabo de Gata - Níjar,Cabo de Gata,
Almería,Parque Natural Cabo de Gata - Níjar,Carboneras,
Almería,Parque Natural Cabo de Gata - Níjar,Nijar,
Almería,Poniente,Adra,
Almería,Poniente,El Ejido,Almerimar
Almería,Poniente,El Ejido,Balerma
Almería,Poniente,El Ejido,El Ejido
Almería,Poniente,El Ejido,Guardias Viejas
Almería,Poniente,El Ejido,Las Norias
Almería,Poniente,El Ejido,Matagorda
Almería,Poniente,El Ejido,San Agustín
Almería,Poniente,El Ejido,Santa María del Águila
Almería,Poniente,Vícar,La Envía
Almería,Poniente,Vícar,La Gangosa
Almería,Poniente,Vícar,Las Cabañuelas
Almería,Poniente,Vícar,Puebla de Vícar
Almería,Poniente,Vícar,Vícar
Almería,Poniente,Berja-Balanegra,Balanegra
Almería,Poniente,Berja-Balanegra,Berja
Almería,Poniente,Dalias,
Almería,Poniente,Felix-Enix,
Almería,Poniente,La Mojonera,
Almería,Poniente,Roquetas de Mar,Aguadulce
Almería,Poniente,Roquetas de Mar,El Parador
Almería,Poniente,Roquetas de Mar,Roquetas
Almería,Valle de Almanzora,Área de Albox,
Almería,Valle de Almanzora,Área de Purchena,
Almería,Valle de Almanzora,Área de Serón,
Almería,Valle de Almanzora,Área de Zurgena,
Andorra,Andorra la Vella,,
Andorra,Canillo,,
Andorra,La Massana,,
Andorra,Ordino,,
Andorra,Sant Julia de Loria,,
Andorra,Encamp,,
Andorra,Escaldes-Engordany,,
Asturias,Área de Avilés,Castrillon,
Asturias,Área de Avilés,Área de Corvera - Candamo,
Asturias,Área de Avilés,Cudillero,
Asturias,Área de Avilés,Gozón,
Asturias,Área de Avilés,Área de Muros de Nalón,
Asturias,Área de Avilés,Pravia,
Asturias,Área de Avilés,Avilés,
Asturias,Área de Gijón,Carreño,
Asturias,Área de Gijón,Villaviciosa,
Asturias,Área de Gijón,Gijón,Centro
Asturias,Área de Gijón,Gijón,El Llano
Asturias,Área de Gijón,Gijón,Este
Asturias,Área de Gijón,Gijón,Oeste
Asturias,Área de Gijón,Gijón,Periurbano
Asturias,Área de Gijón,Gijón,Somió - Cabueñes
Asturias,Área de Gijón,Gijón,Sur
Asturias,Área de Oviedo,Área de Grado,
Asturias,Área de Oviedo,Área de Nava,
Asturias,Área de Oviedo,Área de Somiedo,
Asturias,Área de Oviedo,Llanera,
Asturias,Área de Oviedo,Noreña,
Asturias,Área de Oviedo,Oviedo,Buenavista-Ería-Montecerrao
Asturias,Área de Oviedo,Oviedo,Centro-Casco Histórico
Asturias,Área de Oviedo,Oviedo,Ciudad Naranco-Vallobín-La Florida
Asturias,Área de Oviedo,Oviedo,Corredoria-Huca-Teatinos
Asturias,Área de Oviedo,Oviedo,Fozaneldi-Tenderina-Ventanielles
Asturias,Área de Oviedo,Oviedo,La Manjoya-Parroquias Sur
Asturias,Área de Oviedo,Oviedo,Parroquias Norte-Naranco
Asturias,Área de Oviedo,Oviedo,San Claudio-Trubia-Las Caldas
Asturias,Área de Oviedo,Oviedo,San Lazaro-Otero-Villafría
Asturias,Área de Oviedo,Siero,
Asturias,Caudal,Aller,
Asturias,Caudal,Lena,
Asturias,Caudal,Mieres del Camino,
Asturias,Eo-Navia,Área de Eo,
Asturias,Eo-Navia,Luarca - Valdés,
Asturias,Eo-Navia,Área de Oscos - Parque Prehistórico,
Asturias,Eo-Navia,Área de Tapia,
Asturias,Eo-Navia,Área del Valle de Navia,
Asturias,Nalón,Langreo,
Asturias,Nalón,Laviana,
Asturias,Nalón,San Martín del Rey Aurelio,
Asturias,Nalón,Sobrescobio-Caso,
Asturias,Área de Narcea,,
Asturias,Oriente,Área de Cangas de Onís,
Asturias,Oriente,Llanes,Celorio-Poó-Parres
Asturias,Oriente,Llanes,Cué-San Roque-Andrín
Asturias,Oriente,Llanes,Llanes
Asturias,Oriente,Llanes,Posada-Barro
Asturias,Oriente,Llanes,Pría-Nueva-Hontoria-Naves
Asturias,Oriente,Llanes,Vibaña-Ardisana-Caldueño
Asturias,Oriente,Llanes,Vidiago-Pendueles-Tresgrandas
Asturias,Oriente,Área de Peñamellera,
Asturias,Oriente,Área de Piloña,
Asturias,Oriente,Cabrales,
Asturias,Oriente,Colunga - Caravia,
Asturias,Oriente,Parres,
Asturias,Oriente,Ponga - Amieva,
Asturias,Oriente,Ribadedeva,
Asturias,Oriente,Ribadesella,
Ávila,Área de Ávila,Área de San Pedro del Arroyo,
Ávila,Área de Ávila,Área de Villatoro,
Ávila,Área de Ávila,Ávila,
Ávila,Área de Arévalo,,
Ávila,Burgohondo - Cebreros - El Tiemblo,Área de Burgohondo - El Barraco,
Ávila,Burgohondo - Cebreros - El Tiemblo,Área de Cebreros-Hoyo de Pinares,
Ávila,Burgohondo - Cebreros - El Tiemblo,El Tiemblo,
Ávila,Burgohondo - Cebreros - El Tiemblo,Navalperal-Las Navas del Marqués-Peguerinos,
Ávila,Valle del Tiétar,Área de Arenas de San Pedro,
Ávila,Valle del Tiétar,Candeleda,
Ávila,Valle del Tiétar,Área de Casa Vieja - Gavilanes,
Ávila,Valle del Tiétar,Área de la Adrada - Piedralaves,
Ávila,Valle del Tiétar,Área de Sotillo de la Adrada,
Ávila,Valle del Tormes,,
Badajoz,Área de Mérida,Área de Montijo,
Badajoz,Área de Mérida,Área de Valverde de Mérida,
Badajoz,Área de Mérida,Mérida,Bodegones - Salesianos
Badajoz,Área de Mérida,Mérida,Centro - Argentina
Badajoz,Área de Mérida,Mérida,El Prado
Badajoz,Área de Mérida,Mérida,Los Milagros - Corchera
Badajoz,Área de Mérida,Mérida,Nueva Ciudad
Badajoz,Área de Mérida,Mérida,San Juan - Santa Isabel
Badajoz,Área de Mérida,Mérida,San Luis - Albarregas
Badajoz,Área de Mérida,Mérida,Urbanización Proserpina
Badajoz,Badajoz-Alburquerque,Área de Alburquerque,
Badajoz,Badajoz-Alburquerque,Área de Nogales,
Badajoz,Badajoz-Alburquerque,Badajoz,Avda. Elvas
Badajoz,Badajoz-Alburquerque,Badajoz,Casco Antiguo - Centro
Badajoz,Badajoz-Alburquerque,Badajoz,Cerro de Reyes
Badajoz,Badajoz-Alburquerque,Badajoz,Ciudad Jardín
Badajoz,Badajoz-Alburquerque,Badajoz,Ctra de Sevilla - Ronda sur
Badajoz,Badajoz-Alburquerque,Badajoz,Dehesilla de Calamón - Campomanes
Badajoz,Badajoz-Alburquerque,Badajoz,El Plantío - Corazón de Jesús
Badajoz,Badajoz-Alburquerque,Badajoz,Golf Guadiana
Badajoz,Badajoz-Alburquerque,Badajoz,Huerta Rosales - Valdepasillas
Badajoz,Badajoz-Alburquerque,Badajoz,La Estación
Badajoz,Badajoz-Alburquerque,Badajoz,Las Vaguadas - Carretera Valverde
Badajoz,Badajoz-Alburquerque,Badajoz,Maria Auxiliadora - Barriada LLera
Badajoz,Badajoz-Alburquerque,Badajoz,Pardaleras
Badajoz,Badajoz-Alburquerque,Badajoz,Pedanías norte
Badajoz,Badajoz-Alburquerque,Badajoz,San Roque - Ronda Norte
Badajoz,Badajoz-Alburquerque,Badajoz,Santa Marina - La Paz
Badajoz,Campiña Sur,,
Badajoz,Don Benito-Siberia-Serena,Área de Don Benito,
Badajoz,Don Benito-Siberia-Serena,Área de la Serena,
Badajoz,Don Benito-Siberia-Serena,Área de Orellana - Navalvillar,
Badajoz,Don Benito-Siberia-Serena,Área de Siberia,
Badajoz,Jerez de los Caballeros,,
Badajoz,Llanos de Olivenza,,
Badajoz,Tentudía,,
Badajoz,Tierra de Barros - Tierras de Zafra,Almendralejo,
Badajoz,Tierra de Barros - Tierras de Zafra,Área de Río Bodión,
Badajoz,Tierra de Barros - Tierras de Zafra,Área de Santa Marta-Aceucha,
Badajoz,Tierra de Barros - Tierras de Zafra,Tierras de Zafra,
Badajoz,Tierra de Barros - Tierras de Zafra,Villafranca de los Barros-Sierra Grande,
Badajoz,Tierra de Barros - Tierras de Zafra,Zafra,
"Balears, (Illes)",Formentera,,
